種類,仕込み規模(kg),総米(kg),蒸米(kg),麹米(kg),汲み水(ℓ),留測(ℓ),乳酸(ml),初添_総米,初添_掛米,初添_麹米,初添_汲み水,仲添_総米,仲添_掛米,仲添_麹米,仲添_汲み水,留添_総米,留添_掛米,留添_麹米,留添_汲み水,三段総米,留までの汲水歩合
速醸,1350,80,50,30,96,176,550,200,140,60,200,410,330,80,490,660,540,120,1037,1350,135
速醸,1200,70,45,25,84,154,490,170,115,55,170,340,270,70,410,525,425,100,827,1100,135
速醸,1220,65,40,25,78,143,450,180,125,55,180,360,285,75,430,590,480,110,926,1200,135
速醸,1100,65,40,25,78,143,450,,,,,,,,,,,,,,
速醸,1000,55,35,20,66,121,380,150,105,45,150,300,240,60,360,495,405,90,774,1000,135
速醸,900,50,30,20,60,110,350,135,95,40,135,270,215,55,325,445,365,80,695,900,135
速醸,800,45,30,15,54,99,320,120,80,40,120,240,190,50,290,395,330,65,616,800,135
速醸,750,40,25,15,48,88,280,110,75,35,110,220,175,45,265,380,320,60,590,750,135.1
速醸,700,40,25,15,48,88,280,100,65,35,100,200,155,45,240,360,300,60,557,700,135
速醸,600,35,23,12,42,77,245,90,60,30,90,180,140,40,215,295,245,50,463,600,135
速醸,500,27,18,9,32,59,190,75,50,25,75,150,120,30,180,248,208,40,388,500,135
速醸,400,22,15,7,26,48,155,65,45,20,65,130,105,25,155,183,148,35,294,400,135
高温糖化,1350,70,45,25,125,195,565,200,140,60,180,410,330,80,490,660,540,120,1015,1340,135.1
高温糖化,1200,60,40,20,110,170,500,180,125,55,160,360,285,75,430,590,480,110,910,1190,135.3
